INFO  - 2014-09-15 13:39:07.675; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-09-15 13:39:07.694; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-15 13:39:07.696; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-15 13:39:07.697; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-15 13:39:07.712; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-09-15 13:39:07.712; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-09-15 13:39:07.718; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/hojoon/SmartSearch/SSEngine/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@7caa999; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-09-15 13:39:07.719; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-09-15 13:39:07.725; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@52a16a10 main
INFO  - 2014-09-15 13:39:07.731; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-09-15 13:39:07.738; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-09-15 13:39:07.744; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-09-15 13:39:07.747; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/hojoon/SmartSearch/SSEngine/solr/collection1/conf/elevate.xml
INFO  - 2014-09-15 13:39:07.775; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-09-15 13:39:07.776; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@52a16a10 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-09-15 13:39:07.777; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-09-15 13:39:07.782; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/hojoon/SmartSearch/SSEngine
INFO  - 2014-09-15 13:39:07.782; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-09-15 13:39:07.831; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-09-15 13:39:07.863; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=83 
INFO  - 2014-09-15 13:39:07.864; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-09-15 13:39:07.864; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-09-15 13:39:07.864; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-09-15 13:39:07.865; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@52a16a10 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-09-15 13:40:08.667; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1410755988341&wt=json} status=0 QTime=2 
INFO  - 2014-09-15 13:40:08.884; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1410755988561&wt=json} status=0 QTime=15 
